time,equity
2023-01-15 00:00:00,10000.0
2023-01-19 09:00:00,10000.0
2023-01-23 18:00:00,9839.188579545456
2023-01-28 03:00:00,9571.428114940967
2023-02-01 12:00:00,9741.66288706229
2023-02-05 21:00:00,9338.987812529564
2023-02-10 06:00:00,9173.739697778929
2023-02-14 15:00:00,9345.965277434592
2023-02-19 00:00:00,8922.779883257286
2023-02-23 09:00:00,8588.1163170452
2023-02-27 18:00:00,8369.984293938382
2023-03-04 03:00:00,8243.993016792529
2023-03-08 12:00:00,8168.3066423443615
2023-03-12 21:00:00,7856.170112949011
2023-03-17 06:00:00,7999.588877441044
2023-03-21 15:00:00,7507.93861531995
2023-03-26 01:00:00,7185.199822155109
2023-03-30 10:00:00,6913.432657980915
2023-04-03 19:00:00,6811.810292414103
2023-04-08 04:00:00,6398.6663598291325
2023-04-12 13:00:00,6135.724571587606
2023-04-16 22:00:00,5949.969093834662
2023-04-21 07:00:00,6293.75235907395
2023-04-25 16:00:00,6088.767665272144
2023-04-30 01:00:00,5641.511403818823
2023-05-04 10:00:00,5569.746612814066
2023-05-08 19:00:00,5505.542410489606
2023-05-13 04:00:00,5084.978939599337
2023-05-17 13:00:00,4817.518222004564
2023-05-21 22:00:00,4738.29293814823
2023-05-26 07:00:00,4702.627791455138
2023-05-30 16:00:00,4577.569510872969
2023-06-04 01:00:00,4467.788518340857
2023-06-08 10:00:00,4373.3586185144895
2023-06-12 19:00:00,4229.612870441095
2023-06-17 04:00:00,4115.399546739098
2023-06-21 13:00:00,4027.58296774803
2023-06-25 22:00:00,3822.55375829146
2023-06-30 07:00:00,3755.7395685979054
2023-07-04 16:00:00,3684.690012145155
2023-07-09 01:00:00,3628.438975495292
2023-07-13 10:00:00,3522.5449813286964
2023-07-17 19:00:00,3504.11738125638
2023-07-22 04:00:00,3504.11738125638
2023-07-26 13:00:00,3339.3176308092634
2023-07-30 22:00:00,3148.391364934443
2023-08-04 07:00:00,3072.8755429684484
2023-08-08 16:00:00,2913.594809476885
2023-08-13 01:00:00,2741.716136194743
2023-08-17 10:00:00,2741.716136194743
2023-08-21 19:00:00,2656.7573899000363
2023-08-26 04:00:00,2612.9316178831355
2023-08-30 13:00:00,2550.6476069008736
2023-09-03 22:00:00,2446.1894028043253
2023-09-08 07:00:00,2323.37779908141
2023-09-12 16:00:00,2190.2436931557386
2023-09-17 01:00:00,2123.12188908023
2023-09-21 10:00:00,2092.6293575198456
2023-09-25 19:00:00,2030.630351708127
2023-09-30 04:00:00,1998.5841885194227
2023-10-04 13:00:00,2000.0088286809687
2023-10-08 22:00:00,1841.425423847592
2023-10-13 07:00:00,1786.4723937802285
2023-10-17 16:00:00,1733.7333034286528
2023-10-22 01:00:00,1603.8786494460333
2023-10-26 10:00:00,1486.2814924187296
2023-10-30 19:00:00,1410.36872381103
2023-11-04 04:00:00,1389.3560282309345
2023-11-08 13:00:00,1351.2048946358702
2023-11-12 22:00:00,1293.8874634012452
2023-11-17 07:00:00,1244.4574421149302
2023-11-21 16:00:00,1154.6364275835667
2023-11-26 01:00:00,1171.8858657848143
2023-11-30 10:00:00,1087.4275765997963
2023-12-04 19:00:00,1039.262618143366
2023-12-09 04:00:00,998.5547895627064
2023-12-13 13:00:00,967.9613054530288
2023-12-17 22:00:00,950.8449982834246
2023-12-22 07:00:00,930.8173932232738
2023-12-26 16:00:00,875.3758818349803
2023-12-31 01:00:00,841.9621350415864
2024-01-04 10:00:00,841.6946473954874
2024-01-08 19:00:00,817.617117242842
2024-01-13 04:00:00,810.0247714884057
2024-01-17 13:00:00,768.4280375079135
2024-01-21 22:00:00,754.2067338130532
2024-01-26 07:00:00,737.5311030771318
2024-01-30 16:00:00,704.4280357346963
2024-02-04 01:00:00,684.8453234828864
2024-02-08 10:00:00,664.9283003990813
2024-02-12 19:00:00,648.2625741466766
2024-02-17 04:00:00,635.5542889941854
2024-02-21 13:00:00,658.5450070894972
2024-02-25 22:00:00,623.9961004902528
2024-03-01 07:00:00,602.7940691488274
2024-03-05 16:00:00,584.8126575286691
2024-03-10 01:00:00,542.7741535605567
2024-03-14 10:00:00,521.8108197787365
2024-03-18 19:00:00,508.2495356956472
2024-03-23 04:00:00,496.15082253248414
2024-03-27 13:00:00,482.2427168021867
2024-03-31 22:00:00,472.2547772801817
2024-04-05 07:00:00,468.78245916006745
2024-04-09 16:00:00,464.4286144942536
2024-04-14 01:00:00,464.4286144942536
2024-04-18 10:00:00,460.1612862948791
2024-04-22 19:00:00,460.9714827414239
2024-04-27 04:00:00,442.9408887648403
2024-05-01 13:00:00,440.6188133850245
2024-05-05 22:00:00,431.4769660779988
2024-05-10 07:00:00,409.126199376938
2024-05-14 16:00:00,391.45849839010464
2024-05-19 01:00:00,367.5549163450887
2024-05-23 10:00:00,357.69287018267045
2024-05-27 19:00:00,340.272415406789
2024-06-01 04:00:00,332.48524190528235
2024-06-05 13:00:00,327.9847013224345
2024-06-09 22:00:00,323.1101717422428
2024-06-14 07:00:00,295.7342890631784
2024-06-18 16:00:00,295.48659422712
2024-06-23 01:00:00,299.0584105671903
2024-06-27 10:00:00,282.6640008093258
2024-07-01 19:00:00,271.72790132823894
2024-07-06 04:00:00,273.9452380902639
2024-07-10 13:00:00,264.3148032940981
2024-07-14 22:00:00,255.58512109787023
2024-07-19 07:00:00,253.7008076952274
2024-07-23 16:00:00,246.54421110525695
2024-07-28 01:00:00,230.4367020330441
2024-08-01 10:00:00,228.95058260451032
2024-08-05 19:00:00,228.95058260451032
2024-08-10 04:00:00,228.95058260451032
2024-08-14 13:00:00,221.0799118860984
2024-08-18 22:00:00,209.5987493042603
2024-08-23 07:00:00,195.73893579595764
2024-08-27 16:00:00,195.73893579595764
2024-09-01 01:00:00,177.03410473343678
2024-09-05 10:00:00,177.03410473343678
2024-09-09 19:00:00,163.4515319794791
2024-09-14 04:00:00,160.3160942643581
2024-09-18 13:00:00,152.7338684156739
2024-09-22 22:00:00,142.89026603487488
2024-09-27 07:00:00,140.6541181037439
2024-10-01 16:00:00,136.73954991644325
2024-10-06 01:00:00,134.64543416070077
2024-10-10 10:00:00,129.28837574591017
2024-10-14 19:00:00,122.35454355948325
2024-10-19 04:00:00,119.32674564752892
2024-10-23 13:00:00,114.0266225349415
2024-10-27 22:00:00,106.98037382649674
2024-11-01 07:00:00,104.84316236477636
2024-11-05 16:00:00,104.73678705264211
2024-11-10 01:00:00,98.0834987710972
2024-11-14 10:00:00,96.0601869404274
2024-11-18 19:00:00,94.3148597298613
2024-11-23 04:00:00,94.3148597298613
2024-11-27 13:00:00,96.4079252852775
2024-12-01 22:00:00,93.22317719799332
2024-12-06 07:00:00,92.11071818821364
2024-12-10 16:00:00,92.02080605240243
2024-12-15 01:00:00,90.25713641251714
2024-12-19 10:00:00,90.25713641251714
2024-12-23 19:00:00,89.20686853316342
2024-12-28 04:00:00,79.56322082631853
2025-01-01 13:00:00,74.75813212237252
2025-01-05 22:00:00,72.14568671199368
2025-01-10 07:00:00,69.79499148658105
2025-01-14 16:00:00,65.78428564460181
2025-01-19 01:00:00,63.2551038697327
2025-01-23 10:00:00,61.13481889219187
2025-01-27 19:00:00,59.68146916450166
2025-02-01 04:00:00,54.28381124273215
2025-02-05 13:00:00,54.28381124273215
2025-02-09 22:00:00,51.40696299009056
2025-02-14 07:00:00,49.64423216402166
2025-02-18 16:00:00,47.01718612043558
2025-02-23 01:00:00,43.06324442077697
2025-02-27 10:00:00,41.277051728777344
2025-03-03 19:00:00,41.34074709053132
2025-03-08 04:00:00,40.383663737101045
2025-03-12 13:00:00,38.93997338312072
2025-03-16 22:00:00,35.57933700073944
2025-03-21 07:00:00,35.19464284334457
2025-03-25 16:00:00,32.79380009910871
2025-03-30 01:00:00,31.416942475728582
2025-04-03 10:00:00,30.570627968247923
2025-04-07 19:00:00,29.41506223830612
2025-04-12 04:00:00,28.169548290909542
2025-04-16 13:00:00,26.875775342161784
2025-04-20 22:00:00,25.3086161558428
2025-04-25 07:00:00,23.06935065312214
2025-04-29 16:00:00,21.067600963113964
2025-05-04 01:00:00,19.051432123952388
2025-05-08 10:00:00,19.4216647137013
2025-05-12 19:00:00,17.83165492067064
2025-05-17 04:00:00,17.03678718751447
2025-05-21 13:00:00,16.172921419699783
2025-05-25 22:00:00,15.6023011164027
2025-05-30 07:00:00,15.02767591959864
2025-06-03 16:00:00,14.77262148156342
2025-06-08 01:00:00,13.778445643395369
2025-06-12 10:00:00,13.502602027864002
2025-06-16 19:00:00,13.13234062680427
2025-06-21 04:00:00,12.61929724183118
2025-06-25 13:00:00,11.52123155315073
2025-06-29 22:00:00,10.469071859694816
2025-07-04 07:00:00,10.18662826207249
2025-07-08 16:00:00,9.439664366068367
2025-07-13 01:00:00,8.998719381554974
2025-07-17 10:00:00,8.447716926822707
2025-07-21 19:00:00,7.971838828473014
2025-07-26 04:00:00,7.618527306857453
2025-07-30 13:00:00,7.255255464648757
2025-08-03 22:00:00,6.819842776805255
2025-08-08 07:00:00,6.141212262277421
2025-08-12 16:00:00,5.407955728591948
2025-08-17 01:00:00,5.01825389300596
2025-08-21 10:00:00,4.821975033100489
2025-08-25 19:00:00,4.620117582057688
2025-08-30 04:00:00,4.209512056508166
2025-09-03 13:00:00,4.0434608487395804
2025-09-07 22:00:00,3.5542867792815995
2025-09-12 07:00:00,3.3066025648841806
2025-09-16 16:00:00,3.167012330376784
2025-09-21 01:00:00,3.353774606405958
2025-09-25 10:00:00,3.1096165479452806
2025-09-29 19:00:00,2.8484445145525124
2025-10-04 04:00:00,2.507624330204961
2025-10-08 13:00:00,2.319230309304266
2025-10-12 22:00:00,2.159343359168911
2025-10-17 07:00:00,2.0887523073602314
2025-10-21 16:00:00,1.877198019158255
2025-10-26 01:00:00,1.799632949888179
2025-10-30 10:00:00,1.7836423159865211
2025-11-03 19:00:00,1.746594958837373
2025-11-08 04:00:00,1.6568337534034556
2025-11-12 13:00:00,1.5895897940849295
2025-11-16 22:00:00,1.5283526653897928
2025-11-21 07:00:00,1.3488109412249585
2025-11-25 16:00:00,1.2368005509002609
2025-11-30 01:00:00,1.1232242439731746
2025-12-04 10:00:00,1.132296655676024
2025-12-08 19:00:00,1.05243331966889
2025-12-13 04:00:00,1.0149234377038814
2025-12-17 13:00:00,0.9225264725283878
2025-12-21 22:00:00,0.6929363844319986
2025-12-26 07:00:00,0.6245741537200128
2025-12-30 16:00:00,0.5145531514413187
2026-01-04 01:00:00,0.4439572861089815
2026-01-08 10:00:00,0.4050878449060965
2026-01-12 19:00:00,0.3573417409489802
2026-01-17 04:00:00,0.3232921474367001
2026-01-21 13:00:00,0.2872506308327724
2026-01-25 22:00:00,0.2502934141025937
2026-01-30 07:00:00,0.2287788340499243
2026-02-03 16:00:00,0.2163241483563206
2026-02-08 01:00:00,0.209686544114584
2026-02-12 10:00:00,0.2056555312214033
2026-02-16 19:00:00,0.1845632453969499
2026-02-21 04:00:00,0.1791790473605737
2026-02-25 13:00:00,0.1593246369719789
2026-03-01 22:00:00,0.1495681258393209
2026-03-06 07:00:00,0.137395662707981
2026-03-10 16:00:00,0.1314697865428875
2026-03-15 01:00:00,0.1211589909255627
2026-03-19 10:00:00,0.1111432174475245
2026-03-23 19:00:00,0.1042263192762962
2026-03-28 04:00:00,0.0999929483807048
2026-04-01 13:00:00,0.0922673130052552
2026-04-05 22:00:00,0.0908850174815712
2026-04-10 07:00:00,0.0804686037896913
2026-04-14 16:00:00,0.0758634308708948
2026-04-19 01:00:00,0.0725598162406347
2026-04-23 10:00:00,0.0639549534714952
2026-04-27 19:00:00,0.0539676193153772
2026-05-02 04:00:00,0.0484394761948345
2026-05-06 13:00:00,0.0397065563226529
2026-05-10 22:00:00,0.030854411015444
2026-05-15 07:00:00,0.0273179649573439
2026-05-19 16:00:00,0.0245183072788548
2026-05-24 01:00:00,0.0218999606198506
2026-05-28 10:00:00,0.0186061703024109
2026-06-01 19:00:00,0.0183673942170497
2026-06-06 04:00:00,0.0176804458048916
2026-06-10 13:00:00,0.0173035898663147
2026-06-14 22:00:00,0.0146503404498222
2026-06-19 07:00:00,0.013558541459913
2026-06-23 16:00:00,0.0118919764188586
2026-06-28 01:00:00,0.0105086163318131
2026-07-02 10:00:00,0.0094394393180387
2026-07-06 19:00:00,0.0077503584013896
2026-07-11 04:00:00,0.0060664310633338
2026-07-15 13:00:00,0.0054507562469591
2026-07-19 22:00:00,0.0050013370175033
2026-07-24 07:00:00,0.0045894637189203
2026-07-28 16:00:00,0.0042691704148719
2026-08-02 01:00:00,0.0038901255227335
2026-08-06 10:00:00,0.0031022243522421
2026-08-10 19:00:00,0.0026594647146717
2026-08-15 04:00:00,0.0022478974712176
2026-08-19 13:00:00,0.0021188040900302
2026-08-23 22:00:00,0.0018823388697477
2026-08-25 00:00:00,0.0018354929185024
