open_time,open,high,low,close,volume,close_time,quote_volume,n_trades
1781197200000,900.00000000,951.29000000,900.00000000,945.01000000,1661.60900000,1781200799999,1551978.89327000,3430
1781200800000,945.02000000,969.46000000,932.01000000,966.45000000,113.64200000,1781204399999,108086.11866000,572
1781204400000,966.25000000,999.25000000,959.99000000,999.25000000,113.13000000,1781207999999,110673.67715000,481
1781208000000,999.25000000,1000.00000000,974.55000000,983.50000000,56.62900000,1781211599999,55918.81945000,408
1781211600000,983.83000000,990.51000000,981.45000000,985.53000000,7.10700000,1781215199999,7017.00935000,118
1781215200000,985.51000000,997.88000000,985.51000000,995.11000000,3.37300000,1781218799999,3342.89564000,91
1781218800000,995.10000000,998.83000000,988.51000000,998.52000000,8.16600000,1781222399999,8097.96305000,123
1781222400000,998.52000000,1019.40000000,996.15000000,1007.15000000,36.08700000,1781225999999,36330.22784000,523
1781226000000,1006.60000000,1006.60000000,983.35000000,992.25000000,30.01100000,1781229599999,29880.60636000,224
1781229600000,995.24000000,999.99000000,990.00000000,996.74000000,19.68300000,1781233199999,19596.77666000,91
1781233200000,996.79000000,1000.00000000,994.51000000,995.00000000,69.98200000,1781236799999,69819.33168000,174
1781236800000,996.25000000,1000.00000000,990.29000000,997.92000000,50.44800000,1781240399999,50214.78803000,831
1781240400000,997.77000000,999.99000000,970.13000000,972.41000000,119.45900000,1781243999999,117711.46029000,918
1781244000000,973.69000000,982.58000000,958.81000000,967.82000000,37.33400000,1781247599999,36291.51763000,943
1781247600000,969.99000000,978.19000000,954.90000000,974.73000000,48.30700000,1781251199999,46777.77660000,2137
1781251200000,974.62000000,992.49000000,972.76000000,980.56000000,46.20600000,1781254799999,45515.89833000,2186
1781254800000,982.49000000,992.49000000,979.07000000,987.10000000,75.46500000,1781258399999,74571.48294000,1305
1781258400000,987.99000000,992.36000000,977.46000000,981.01000000,38.83200000,1781261999999,38251.39369000,1430
1781262000000,982.80000000,994.99000000,982.80000000,983.53000000,39.30900000,1781265599999,38870.59123000,2089
1781265600000,986.00000000,987.19000000,961.47000000,961.47000000,66.85000000,1781269199999,64910.71567000,1616
1781269200000,964.67000000,993.00000000,959.21000000,985.90000000,224.74300000,1781272799999,219746.10709000,2106
1781272800000,986.72000000,1011.42000000,977.20000000,990.87000000,105.40300000,1781276399999,104913.92394000,1635
1781276400000,991.82000000,1003.77000000,981.68000000,982.80000000,91.52800000,1781279999999,91057.27424000,1391
1781280000000,983.36000000,1002.63000000,981.68000000,1000.21000000,22.16700000,1781283599999,21991.05596000,670
1781283600000,1000.26000000,1003.36000000,997.00000000,999.73000000,40.27400000,1781287199999,40262.40392000,689
1781287200000,999.64000000,1000.06000000,990.09000000,992.37000000,37.31700000,1781290799999,37117.84341000,562
1781290800000,991.80000000,996.16000000,984.48000000,984.48000000,37.31100000,1781294399999,36936.59539000,450
1781294400000,984.46000000,987.31000000,984.00000000,985.38000000,7.60100000,1781297999999,7487.43679000,179
1781298000000,985.18000000,986.95000000,984.01000000,984.75000000,11.38400000,1781301599999,11214.57202000,293
1781301600000,986.59000000,989.64000000,984.10000000,987.90000000,10.93400000,1781305199999,10789.18815000,62
1781305200000,988.72000000,990.27000000,986.95000000,989.15000000,1.30000000,1781308799999,1284.13502000,51
1781308800000,990.60000000,993.82000000,989.33000000,991.95000000,8.33000000,1781312399999,8260.46553000,353
1781312400000,991.71000000,993.62000000,984.97000000,988.44000000,28.41600000,1781315999999,28077.47823000,548
1781316000000,988.44000000,992.07000000,987.73000000,988.26000000,43.86600000,1781319599999,43417.75712000,540
1781319600000,988.39000000,990.05000000,984.43000000,985.88000000,22.03100000,1781323199999,21744.61897000,599
1781323200000,986.19000000,989.40000000,984.00000000,984.23000000,16.57800000,1781326799999,16353.27846000,787
1781326800000,984.03000000,985.92000000,981.21000000,983.07000000,11.84700000,1781330399999,11653.66251000,1059
1781330400000,983.07000000,984.40000000,981.20000000,982.71000000,14.76000000,1781333999999,14504.95857000,2019
1781334000000,982.62000000,986.77000000,981.20000000,983.95000000,21.00000000,1781337599999,20652.34760000,1291
1781337600000,984.16000000,988.73000000,983.17000000,986.60000000,19.61300000,1781341199999,19343.90739000,1759
1781341200000,986.65000000,987.20000000,984.18000000,985.68000000,146.61700000,1781344799999,144620.62469000,840
1781344800000,985.79000000,987.24000000,984.31000000,984.55000000,18.35700000,1781348399999,18094.87617000,1111
1781348400000,984.60000000,987.03000000,983.63000000,984.81000000,15.76500000,1781351999999,15529.43873000,832
1781352000000,985.32000000,987.59000000,983.27000000,987.30000000,25.52800000,1781355599999,25143.76719000,1058
1781355600000,987.49000000,989.15000000,986.39000000,986.74000000,19.40000000,1781359199999,19157.12909000,721
