funding_time,funding_rate
1727942400000,-0.00014586
1727971200000,-0.00020334
1728000000000,-0.00041478
1728028800000,-0.00029116
1728057600001,-0.00045387
1728086400000,-0.00005122
1728115200000,0.00000580
1728144000000,-0.00003097
1728172800000,-0.00009697
1728201600001,-0.00006710
1728230400000,-0.00000954
1728259200000,0.00007865
1728288000000,-0.00002738
1728316800001,-0.00000409
1728345600000,0.00006262
1728374400000,0.00003536
1728403200000,0.00000325
1728432000000,0.00002748
1728460800000,-0.00011487
1728489600000,0.00001711
1728518400000,0.00006712
1728547200000,-0.00001035
1728576000000,-0.00001936
1728604800000,-0.00008407
1728633600000,-0.00001061
1728662400001,0.00007160
1728691200000,0.00010000
1728720000001,0.00010000
1728748800000,0.00010000
1728777600000,0.00010000
1728806400000,0.00010000
1728835200000,0.00010000
1728864000000,0.00010000
1728892800000,0.00010000
1728921600000,0.00004341
1728950400000,-0.00007493
1728979200000,0.00007248
1729008000000,-0.00009021
1729036800000,-0.00011908
1729065600001,-0.00011770
1729094400000,-0.00003102
1729123200000,0.00004453
1729152000000,0.00005767
1729180800001,0.00004914
1729209600010,0.00002244
1729238400001,0.00004322
1729267200000,0.00001327
1729296000000,0.00008096
1729324800000,0.00007822
1729353600000,0.00005845
1729382400000,0.00007942
1729411200000,0.00006654
1729440000000,0.00006826
1729468800000,0.00010000
1729497600000,0.00010000
1729526400000,0.00010000
1729555200000,0.00000699
1729584000000,0.00010000
1729612800000,0.00004547
1729641600000,0.00009935
1729670400000,-0.00003332
1729699200000,-0.00014626
1729728000000,0.00000135
1729756800000,0.00003859
1729785600000,0.00010000
1729814400000,0.00010000
1729843200000,-0.00011919
1729872000000,-0.00000947
1729900800000,-0.00017851
1729929600001,-0.00031813
1729958400000,-0.00007290
1729987200000,-0.00008053
1730016000000,-0.00023747
1730044800000,-0.00007456
1730073600000,-0.00010925
1730102400001,-0.00006118
1730131200000,-0.00004278
1730160000000,0.00010000
1730188800000,0.00009964
1730217600004,0.00008578
1730246400000,0.00010000
1730275200000,0.00010000
1730304000013,0.00010000
1730332800000,0.00010000
1730361600000,-0.00005124
1730390400000,-0.00013588
1730419200000,-0.00044336
1730448000000,-0.00003866
1730476800000,-0.00012913
1730505600000,-0.00005531
1730534400000,-0.00004229
1730563200000,-0.00023040
1730592000000,-0.00024547
1730620800000,-0.00012996
1730649600000,-0.00003036
1730678400000,-0.00023818
1730707200000,-0.00023076
1730736000000,-0.00004208
1730764800000,-0.00001141
1730793600003,-0.00001254
1730822400001,-0.00000485
1730851200000,0.00010000
1730880000000,0.00010000
1730908800000,0.00010000
1730937600000,0.00010000
1730966400000,0.00010000
1730995200000,0.00010000
1731024000000,0.00010000
1731052800000,0.00010000
1731081600000,0.00010000
1731110400000,0.00010000
1731139200000,0.00010000
1731168000000,0.00010000
1731196800000,0.00010000
1731225600000,0.00010000
1731254400000,0.00017318
1731283200001,0.00016011
1731312000000,0.00018792
1731340800000,0.00010000
1731369600002,0.00030821
1731398400000,0.00036437
1731427200000,0.00049131
1731456000000,0.00012998
1731484800010,0.00010560
1731513600000,0.00010000
1731542400001,0.00010000
1731571200000,0.00010000
1731600000000,0.00010000
1731628800000,0.00010000
1731657600000,0.00010000
1731686400000,0.00010000
1731715200001,0.00010000
1731744000001,0.00010000
1731772800000,0.00010000
1731801600000,0.00010000
1731830400000,0.00010000
1731859200001,0.00018744
1731888000000,0.00010000
1731916800000,0.00010000
1731945600000,0.00010000
1731974400000,0.00019752
1732003200000,0.00018132
1732032000000,0.00010000
1732060800003,0.00010000
1732089600000,0.00010000
1732118400000,0.00010000
1732147200001,0.00010000
1732176000000,0.00010000
1732204800001,0.00010000
1732233600000,0.00037199
1732262400000,0.00017879
1732291200001,0.00026420
1732320000000,0.00016639
1732348800000,0.00032581
1732377600000,0.00040219
1732406400001,0.00025758
1732435200000,0.00029555
1732464000000,0.00019210
1732492800000,0.00010000
1732521600000,0.00017432
1732550400000,0.00024666
1732579200000,0.00016271
1732608000000,0.00010000
1732636800000,0.00010000
1732665600000,0.00013199
1732694400000,0.00010000
1732723200001,0.00010000
1732752000000,0.00010474
1732780800000,0.00010000
1732809600000,0.00010000
1732838400000,0.00010000
1732867200000,0.00019268
1732896000000,0.00016663
1732924800000,0.00018446
1732953600000,0.00019090
1732982400000,0.00024661
1733011200000,0.00023396
1733040000000,0.00011693
1733068800000,0.00010000
1733097600001,0.00040734
1733126400001,0.00010000
1733155200000,0.00025591
1733184000000,0.00017128
1733212800000,0.00047279
1733241600000,0.00022109
1733270400000,0.00019138
1733299200000,0.00040200
1733328000000,0.00041775
1733356800001,0.00037917
1733385600000,0.00032937
1733414400000,0.00048724
1733443200000,0.00013142
1733472000000,0.00039418
1733500800000,0.00014007
1733529600000,0.00050826
1733558400000,0.00044077
1733587200000,0.00038482
1733616000000,0.00027071
1733644800000,0.00010000
1733673600000,0.00025955
1733702400000,0.00034107
1733731200000,0.00010000
1733760000001,0.00010000
1733788800007,0.00010000
1733817600000,0.00010000
1733846400000,0.00010000
1733875200000,0.00010000
1733904000000,0.00010000
1733932800001,0.00010000
1733961600001,0.00010000
1733990400000,0.00010000
1734019200001,0.00010000
1734048000000,0.00010000
1734076800000,0.00010000
1734105600001,0.00010000
1734134400000,0.00010000
1734163200000,0.00010000
1734192000000,0.00010000
1734220800000,0.00010000
1734249600000,0.00010000
1734278400000,0.00007017
1734307200000,0.00010000
1734336000001,0.00010000
1734364800000,0.00010000
1734393600000,0.00010000
1734422400000,0.00010000
1734451200000,0.00010000
1734480000000,0.00010000
1734508800000,0.00010000
1734537600000,0.00010000
1734566400000,0.00008090
1734595200000,-0.00003161
1734624000000,-0.00001157
1734652800000,-0.00004235
1734681600001,0.00010000
1734710400014,-0.00010293
1734739200000,0.00010000
1734768000000,0.00007826
1734796800001,0.00010000
1734825600000,0.00009291
1734854400000,0.00010000
1734883200000,0.00002695
1734912000000,0.00010000
1734940800000,0.00006721
1734969600001,0.00004044
1734998400000,0.00010000
1735027200000,0.00002771
1735056000001,0.00005849
1735084800001,0.00003763
1735113600000,0.00006567
1735142400000,0.00002147
1735171200000,0.00005041
1735200000000,0.00010000
1735228800000,0.00010000
1735257600000,0.00008622
1735286400000,0.00001283
1735315200000,-0.00008497
1735344000001,0.00010000
1735372800000,0.00002098
1735401600000,-0.00001702
1735430400000,0.00008359
1735459200000,0.00010000
1735488000000,0.00008552
1735516800000,0.00003506
1735545600001,0.00010000
1735574400000,0.00010000
1735603200000,0.00010000
1735632000000,-0.00000533
1735660800000,0.00010000
1735689600015,0.00010000
1735718400000,0.00007855
1735747200001,0.00008928
1735776000000,0.00010000
1735804800006,0.00010000
1735833600000,0.00010000
1735862400000,0.00010000
1735891200000,0.00010000
1735920000000,0.00010000
1735948800000,0.00010000
1735977600000,0.00010000
1736006400000,0.00010000
1736035200000,0.00010000
1736064000000,0.00010000
1736092800000,0.00010000
1736121600000,0.00010000
1736150400001,0.00010000
1736179200000,0.00010000
1736208000000,0.00010000
1736236800000,0.00010000
1736265600008,0.00010000
