funding_time,funding_rate
1694678400001,-0.00002821
1694707200000,-0.00014924
1694736000000,-0.00003541
1694764800000,0.00003275
1694793600000,0.00005803
1694822400000,0.00010000
1694851200000,-0.00000766
1694880000000,0.00006678
1694908800000,0.00002162
1694937600000,0.00000419
1694966400000,0.00006746
1694995200000,-0.00001322
1695024000000,0.00006384
1695052800000,0.00010000
1695081600000,-0.00011351
1695110400001,-0.00002806
1695139200000,-0.00001082
1695168000000,0.00004318
1695196800000,-0.00006604
1695225600000,-0.00014478
1695254400001,-0.00017282
1695283200000,-0.00004546
1695312000000,-0.00005595
1695340800000,0.00002395
1695369600000,0.00001419
1695398400000,-0.00012682
1695427200000,-0.00001390
1695456000000,-0.00005372
1695484800000,-0.00005671
1695513600000,-0.00009839
1695542400000,-0.00018293
1695571200000,-0.00015096
1695600000000,-0.00019074
1695628800000,-0.00005039
1695657600000,-0.00011408
1695686400000,-0.00011214
1695715200000,-0.00014732
1695744000000,-0.00013706
1695772800000,-0.00018718
1695801600001,-0.00002755
1695830400000,-0.00006798
1695859200000,-0.00015037
1695888000000,0.00005015
1695916800000,-0.00001177
1695945600000,0.00003293
1695974400000,-0.00011382
1696003200000,-0.00005796
1696032000000,-0.00026222
1696060800000,-0.00003153
1696089600000,-0.00011054
1696118400000,-0.00012403
1696147200000,-0.00018629
1696176000000,-0.00022562
1696204800000,0.00008952
1696233600000,-0.00019522
1696262400000,-0.00086204
1696291200000,-0.00046399
1696320000000,-0.00021386
1696348800000,-0.00026971
1696377600000,-0.00062925
1696406400000,-0.00036815
1696435200000,-0.00032129
1696464000000,-0.00034984
1696492800000,-0.00012953
1696521600001,-0.00017871
1696550400000,-0.00041915
1696579200000,-0.00009021
1696608000000,-0.00000468
1696636800000,-0.00000794
1696665600000,-0.00017972
1696694400000,-0.00011086
1696723200000,-0.00010089
1696752000001,-0.00008158
1696780800000,-0.00019173
1696809600000,-0.00012298
1696838400000,-0.00019998
1696867200000,-0.00028770
1696896000000,-0.00014705
1696924800000,-0.00001929
1696953600000,-0.00003891
1696982400000,-0.00006621
1697011200000,-0.00011901
1697040000000,-0.00003784
1697068800000,-0.00004184
1697097600000,-0.00007052
1697126400000,-0.00015360
1697155200000,-0.00000029
1697184000000,-0.00000220
1697212800000,-0.00010857
1697241600000,-0.00009764
1697270400000,0.00004077
1697299200000,0.00005453
1697328000000,0.00007120
1697356800000,-0.00006147
1697385600000,0.00007876
1697414400000,-0.00002402
1697443200000,0.00006211
1697472000000,0.00010000
1697500800000,0.00007708
1697529600000,-0.00009071
1697558400000,-0.00004108
1697587200000,0.00005231
1697616000000,0.00001059
1697644800000,0.00003597
1697673600000,-0.00004401
1697702400001,-0.00006134
1697731200000,0.00005000
1697760000000,0.00005643
1697788800005,0.00010000
1697817600000,-0.00000756
1697846400000,-0.00010181
1697875200000,0.00002514
1697904000000,0.00005224
1697932800000,-0.00005227
1697961600000,0.00001480
1697990400000,-0.00032052
1698019200000,0.00006085
1698048000001,-0.00000230
1698076800001,0.00010000
1698105600000,0.00010000
1698134400000,0.00010000
1698163200000,0.00010000
1698192000000,-0.00001327
1698220800000,0.00010000
1698249600001,0.00010000
1698278400001,0.00010000
1698307200000,0.00010000
1698336000000,0.00010000
1698364800000,0.00010000
1698393600000,0.00010000
1698422400000,0.00010000
1698451200000,0.00010000
1698480000001,0.00010000
1698508800000,0.00010000
1698537600000,0.00005406
1698566400000,0.00008346
1698595200000,0.00010000
1698624000000,0.00010000
1698652800000,0.00010000
1698681600000,0.00010000
1698710400001,0.00010000
1698739200000,0.00010000
1698768000000,0.00010000
1698796800000,0.00010000
1698825600000,0.00010000
1698854400000,0.00010000
1698883200001,0.00010000
1698912000000,0.00010000
1698940800000,0.00010000
1698969600000,0.00010000
1698998400000,0.00010000
1699027200000,0.00010000
1699056000000,0.00010000
1699084800000,0.00010000
1699113600000,0.00010000
1699142400000,0.00010000
1699171200000,0.00010000
1699200000000,0.00010000
1699228800000,0.00010000
1699257600001,0.00010000
1699286400000,0.00010000
1699315200001,0.00010000
1699344000000,0.00010000
1699372800000,0.00010000
1699401600000,0.00010000
1699430400000,0.00008161
1699459200000,0.00010000
1699488000000,0.00010000
1699516800000,0.00010000
1699545600000,0.00010000
1699574400000,0.00010000
1699603200000,0.00010000
1699632000000,-0.00053642
1699660800000,0.00010000
1699689600000,0.00010000
1699718400000,0.00010000
1699747200000,0.00010000
1699776000000,0.00010000
1699804800001,0.00010000
1699833600000,0.00010000
1699862400000,0.00010000
1699891200000,0.00010000
1699920000000,0.00010000
1699948800000,0.00010000
1699977600001,0.00010000
1700006400000,0.00010000
1700035200000,0.00010000
1700064000000,0.00010000
1700092800000,0.00010000
1700121600000,0.00010235
1700150400001,0.00010000
1700179200000,0.00010000
1700208000001,0.00010000
1700236800001,0.00010000
1700265600000,0.00010000
1700294400000,0.00010000
1700323200000,0.00010000
1700352000000,0.00010000
1700380800000,0.00010000
1700409600000,0.00010000
1700438400000,0.00010000
1700467200000,0.00010000
1700496000000,0.00010000
1700524800000,-0.00044186
1700553600000,0.00002052
1700582400000,0.00010000
1700611200000,0.00006975
1700640000000,0.00010000
1700668800000,-0.00034997
1700697600000,0.00010000
1700726400000,0.00010000
1700755200001,0.00003479
1700784000000,0.00010000
1700812800000,0.00010000
1700841600000,0.00010000
1700870400000,0.00010000
1700899200000,0.00010000
1700928000000,0.00010000
1700956800000,0.00010000
1700985600000,0.00010000
1701014400000,0.00010000
1701043200000,0.00010000
1701072000001,0.00010000
1701100800000,-0.00013447
1701129600000,-0.00052246
1701158400000,-0.00026358
1701187200000,-0.00038246
1701216000001,-0.00035366
1701244800000,0.00000417
1701273600000,0.00010000
1701302400000,0.00010000
1701331200000,0.00010000
1701360000000,0.00010000
1701388800000,0.00010000
1701417600000,0.00010000
1701446400000,0.00010000
1701475200000,0.00010000
1701504000000,0.00010000
1701532800000,0.00010000
1701561600000,0.00010000
1701590400000,0.00010000
1701619200000,0.00010000
1701648000000,0.00010000
1701676800000,0.00010000
1701705600000,0.00010000
1701734400000,0.00010000
1701763200000,0.00010000
1701792000000,0.00010000
1701820800000,0.00010000
1701849600000,0.00010000
1701878400000,0.00010000
1701907200000,0.00010000
1701936000000,0.00010000
1701964800000,0.00010000
1701993600000,0.00010000
1702022400000,0.00010000
1702051200000,0.00010000
1702080000000,0.00021130
1702108800000,0.00056997
1702137600000,0.00016224
1702166400000,0.00010000
1702195200000,0.00017219
1702224000000,0.00012151
1702252800000,0.00010000
1702281600000,-0.00010456
1702310400000,0.00010000
1702339200000,0.00010000
1702368000000,0.00010000
1702396800000,0.00009894
1702425600000,0.00010000
1702454400000,-0.00037299
1702483200001,0.00010000
1702512000000,0.00008003
1702540800000,0.00009211
1702569600000,0.00010000
1702598400000,0.00010000
1702627200000,0.00010000
1702656000000,0.00010000
1702684800000,0.00010000
1702713600000,0.00010000
1702742400001,0.00010000
1702771200000,-0.00025808
1702800000000,-0.00000338
1702828800000,0.00010000
1702857600000,0.00010000
1702886400001,-0.00039505
1702915200000,-0.00007414
1702944000000,0.00010000
1702972800000,0.00010000
1703001600000,-0.00007356
1703030400000,0.00000668
1703059200000,0.00010000
1703088000000,0.00010000
1703116800000,0.00010000
1703145600000,0.00010000
1703174400000,0.00010000
1703203200000,0.00033263
1703232000000,0.00011004
1703260800000,0.00015766
1703289600000,0.00036578
1703318400001,0.00010000
1703347200000,0.00020859
1703376000000,0.00026116
1703404800000,0.00038698
1703433600000,0.00037521
1703462400000,0.00035699
1703491200000,0.00049395
1703520000000,0.00037269
1703548800000,0.00078167
1703577600000,0.00018857
1703606400000,0.00034619
1703635200000,0.00010000
1703664000000,0.00010000
1703692800000,0.00027766
1703721600000,0.00029762
1703750400000,0.00042228
1703779200000,0.00010000
1703808000001,0.00010000
1703836800000,0.00010000
1703865600000,0.00021259
1703894400001,0.00010000
1703923200000,0.00028626
1703952000000,0.00014459
1703980800000,0.00010000
1704009600001,0.00010000
1704038400000,0.00014065
1704067200000,0.00037659
1704096000000,0.00011795
1704124800000,0.00037953
1704153600000,0.00043990
1704182400000,0.00031662
1704211200000,0.00088784
1704240000000,0.00041512
1704268800000,0.00039434
1704297600000,0.00010000
1704326400000,0.00010000
1704355200000,0.00011390
1704384000000,0.00010000
1704412800001,0.00010000
1704441600000,0.00010000
1704470400000,0.00010000
1704499200000,0.00010000
1704528000000,-0.00028630
1704556800000,0.00010000
1704585600000,0.00010000
1704614400001,0.00010000
1704643200001,-0.00010134
1704672000000,-0.00019357
1704700800000,0.00000001
1704729600000,-0.00001191
1704758400001,0.00005426
1704787200000,0.00010000
1704816000000,-0.00041311
1704844800000,-0.00016813
1704873600000,0.00003292
1704902400000,-0.00000160
1704931200000,0.00007431
1704960000000,0.00010000
1704988800000,0.00010000
1705017600001,0.00010000
1705046400000,0.00010000
1705075200000,0.00010000
1705104000000,0.00010000
1705132800000,0.00010000
1705161600001,0.00010000
1705190400000,0.00010000
1705219200000,0.00010000
1705248000001,0.00010000
1705276800000,0.00010000
1705305600000,0.00010000
1705334400000,0.00010000
1705363200000,0.00010000
1705392000000,0.00010000
1705420800001,0.00010000
1705449600000,0.00010000
1705478400000,-0.00000110
1705507200000,0.00010000
1705536000001,0.00004619
1705564800000,0.00010000
1705593600000,0.00010000
1705622400000,-0.00000993
1705651200000,0.00004392
1705680000002,0.00001016
1705708800000,0.00010000
1705737600003,0.00010000
1705766400000,0.00007198
1705795200000,0.00010000
1705824000000,0.00010000
1705852800000,0.00010000
1705881600000,-0.00012385
1705910400000,0.00009009
1705939200000,-0.00022703
1705968000000,0.00009246
1705996800000,0.00010000
1706025600000,-0.00007570
1706054400000,0.00002886
1706083200000,0.00010000
1706112000000,0.00010000
1706140800000,0.00010000
1706169600001,0.00010000
1706198400000,0.00010000
1706227200001,0.00010000
1706256000000,0.00010000
1706284800000,0.00010000
1706313600000,0.00006233
1706342400000,0.00010000
1706371200000,0.00004829
1706400000000,0.00000722
1706428800000,0.00010000
1706457600000,-0.00021418
1706486400000,0.00001861
1706515200001,0.00010000
1706544000000,0.00010000
1706572800000,0.00000752
1706601600000,-0.00003832
1706630400001,-0.00032775
1706659200000,0.00004750
1706688000000,0.00010000
1706716800000,0.00001516
1706745600000,-0.00000495
1706774400000,0.00010000
1706803200002,0.00008944
1706832000000,-0.00014361
1706860800000,0.00000509
1706889600000,-0.00019561
1706918400000,-0.00039909
1706947200000,-0.00003958
1706976000001,0.00009951
1707004800000,0.00010000
1707033600004,-0.00013797
1707062400000,-0.00008591
1707091200000,-0.00017443
1707120000000,-0.00004864
1707148800000,-0.00037743
1707177600000,-0.00018661
1707206400001,-0.00001876
1707235200000,0.00010000
1707264000000,0.00006429
1707292800000,0.00009117
1707321600000,0.00010000
1707350400000,0.00004025
1707379200000,-0.00004701
1707408000000,-0.00008801
1707436800000,-0.00014790
1707465600000,-0.00003379
1707494400001,-0.00007215
1707523200001,0.00009586
1707552000000,0.00004103
1707580800000,0.00003523
1707609600000,0.00010000
1707638400001,0.00010000
1707667200000,0.00010000
1707696000000,0.00010000
1707724800000,0.00010000
1707753600000,0.00010000
1707782400000,0.00010000
1707811200000,0.00010000
1707840000000,0.00010000
1707868800000,0.00010000
1707897600000,0.00010000
1707926400000,0.00010000
1707955200000,0.00010000
1707984000000,0.00023587
1708012800000,0.00014558
1708041600000,0.00010000
1708070400000,0.00020052
1708099200000,0.00010000
1708128000000,0.00011527
1708156800000,0.00028302
1708185600000,0.00023610
1708214400000,0.00014413
1708243200000,0.00010000
1708272000000,0.00010000
1708300800000,0.00013813
1708329600000,0.00032746
1708358400000,0.00010000
1708387200000,0.00036851
1708416000000,0.00026650
1708444800000,0.00018320
1708473600000,0.00035169
1708502400000,0.00022963
1708531200000,0.00010000
1708560000001,0.00010000
1708588800001,0.00010000
1708617600000,0.00024212
1708646400000,0.00010000
1708675200000,0.00010000
1708704000000,0.00021365
1708732800000,0.00013082
1708761600001,0.00010000
1708790400000,0.00010000
1708819200001,0.00010000
1708848000000,0.00024942
1708876800000,0.00025800
1708905600000,0.00028398
1708934400000,0.00027397
1708963200000,0.00054688
1708992000000,0.00044615
1709020800000,0.00068014
1709049600000,0.00046035
1709078400000,0.00065474
1709107200000,0.00043556
1709136000000,0.00055729
1709164800000,0.00010000
1709193600000,0.00076435
1709222400000,0.00026664
1709251200000,0.00010000
1709280000000,0.00037382
1709308800000,0.00027245
1709337600000,0.00045343
1709366400001,0.00090132
1709395200000,0.00075191
1709424000000,0.00087655
1709452800000,0.00061236
1709481600000,0.00010000
1709510400000,0.00029143
1709539200000,0.00039463
1709568000000,0.00041854
1709596800000,0.00010000
1709625600000,0.00058469
1709654400000,0.00046175
1709683200000,-0.00069663
1709712000001,0.00010000
1709740800000,-0.00007722
1709769600000,0.00010000
1709798400000,0.00010000
1709827200000,0.00005414
1709856000000,0.00010000
1709884800000,0.00010000
1709913600000,0.00010000
1709942400000,-0.00015797
1709971200001,0.00010000
1710000000000,0.00010000
1710028800000,0.00010000
1710057600000,0.00021382
1710086400000,0.00010000
1710115200000,0.00010000
1710144000000,0.00010000
1710172800000,0.00010000
1710201600000,0.00010000
1710230400000,0.00010000
1710259200000,0.00010000
1710288000000,0.00010000
1710316800001,0.00041712
1710345600000,0.00010000
1710374400001,0.00010000
1710403200000,0.00010000
1710432000000,-0.00015974
1710460800000,0.00010000
1710489600000,-0.00007190
1710518400000,-0.00003399
1710547200000,0.00010000
1710576000000,0.00010000
1710604800000,0.00010000
1710633600000,-0.00002511
