open_time,open,high,low,close,volume,close_time,quote_volume,n_trades
1781200800000,1700.00000000,1903.68000000,1700.00000000,1832.92000000,70.73290000,1781204399999,129267.29468200,487
1781204400000,1902.99000000,1950.00000000,1818.04000000,1867.00000000,20.05620000,1781207999999,37762.53669300,115
1781208000000,1893.19000000,1893.19000000,1858.06000000,1868.02000000,2.79330000,1781211599999,5224.14675100,69
1781211600000,1866.09000000,1891.00000000,1866.08000000,1887.10000000,3.15220000,1781215199999,5919.18514300,95
1781215200000,1887.10000000,1923.89000000,1887.10000000,1907.02000000,16.10370000,1781218799999,30926.73430200,147
1781218800000,1907.02000000,1918.21000000,1904.76000000,1916.51000000,0.60940000,1781222399999,1163.02794800,66
1781222400000,1915.19000000,1961.93000000,1912.32000000,1944.18000000,20.51700000,1781225999999,39787.84494100,290
1781226000000,1942.08000000,1942.08000000,1897.08000000,1911.73000000,2.63680000,1781229599999,5060.95909200,114
1781229600000,1918.19000000,1931.36000000,1915.84000000,1916.46000000,2.77410000,1781233199999,5324.95528400,28
1781233200000,1916.47000000,1923.91000000,1910.75000000,1913.50000000,7.85900000,1781236799999,15021.00222800,20
1781236800000,1908.92000000,1920.97000000,1898.68000000,1908.98000000,18.54010000,1781240399999,35544.25009300,67
1781240400000,1917.73000000,1922.20000000,1863.80000000,1863.80000000,22.30460000,1781243999999,42674.67117500,228
1781244000000,1881.00000000,1892.14000000,1853.75000000,1860.18000000,2.62570000,1781247599999,4928.32692100,119
1781247600000,1871.47000000,1881.66000000,1840.19000000,1880.98000000,2.02900000,1781251199999,3771.28064800,61
1781251200000,1892.14000000,1903.79000000,1847.23000000,1873.40000000,40.90590000,1781254799999,77259.83755000,1996
1781254800000,1872.64000000,1902.82000000,1849.22000000,1887.17000000,15.21100000,1781258399999,28443.84425200,918
1781258400000,1901.76000000,1904.14000000,1877.19000000,1901.46000000,1.24420000,1781261999999,2364.53131600,48
1781262000000,1901.46000000,1907.84000000,1877.18000000,1895.00000000,2.85180000,1781265599999,5420.01624600,83
1781265600000,1895.00000000,1911.22000000,1858.88000000,1867.99000000,4.41510000,1781269199999,8299.06323200,151
1781269200000,1867.99000000,1983.36000000,1859.18000000,1963.68000000,29.14860000,1781272799999,56180.36753300,355
1781272800000,1975.56000000,2000.00000000,1939.04000000,1971.85000000,20.02500000,1781276399999,39353.49696300,272
1781276400000,1970.72000000,1998.50000000,1954.40000000,1956.81000000,31.41510000,1781279999999,62574.02109000,330
1781280000000,1955.28000000,2023.52000000,1955.28000000,2013.65000000,40.46650000,1781283599999,80925.59249700,283
1781283600000,2014.80000000,2020.34000000,1997.28000000,2002.62000000,29.72170000,1781287199999,59718.14517800,209
1781287200000,1997.32000000,2004.11000000,1988.45000000,1992.52000000,11.13320000,1781290799999,22263.93514300,234
1781290800000,1991.58000000,1998.50000000,1972.44000000,1984.60000000,31.97480000,1781294399999,63580.48937300,326
1781294400000,1984.21000000,1992.50000000,1975.24000000,1985.00000000,12.09400000,1781297999999,23974.09301000,157
1781298000000,1984.04000000,1988.82000000,1981.21000000,1988.11000000,5.62090000,1781301599999,11154.04477100,71
1781301600000,1987.02000000,1995.22000000,1987.02000000,1994.54000000,1.24750000,1781305199999,2484.80735400,51
1781305200000,1995.11000000,2000.32000000,1992.74000000,1997.22000000,3.72400000,1781308799999,7440.52305800,156
1781308800000,1997.41000000,1997.97000000,1986.29000000,1996.44000000,8.04040000,1781312399999,15990.86365100,61
1781312400000,1988.59000000,1988.59000000,1980.53000000,1980.53000000,1.53490000,1781315999999,3045.17791500,20
1781316000000,1985.38000000,1995.25000000,1980.01000000,1994.95000000,2.47540000,1781319599999,4930.17895100,79
1781319600000,1996.02000000,1996.02000000,1984.70000000,1992.55000000,0.93660000,1781323199999,1859.53140100,18
1781323200000,1994.04000000,2000.40000000,1993.02000000,1996.44000000,47.38420000,1781326799999,94617.01289200,78
1781326800000,1996.45000000,2000.18000000,1996.44000000,1999.63000000,1.91360000,1781330399999,3821.81423000,34
1781330400000,1996.45000000,2000.18000000,1996.44000000,1999.96000000,13.06830000,1781333999999,26135.44770900,50
1781334000000,2000.17000000,2000.18000000,1996.81000000,2000.17000000,4.88180000,1781337599999,9763.47392200,26
1781337600000,2000.17000000,2006.57000000,1998.04000000,1998.94000000,10.02300000,1781341199999,20054.40479400,70
1781341200000,1998.98000000,2003.59000000,1995.01000000,1995.01000000,1.69390000,1781344799999,3389.91412500,38
1781344800000,1995.03000000,2003.58000000,1995.03000000,1995.47000000,0.40470000,1781348399999,808.72110000,25
1781348400000,1995.00000000,2001.67000000,1995.00000000,1999.71000000,6.06490000,1781351999999,12102.41367200,23
1781352000000,1995.12000000,2003.59000000,1995.00000000,2003.59000000,3.82830000,1781355599999,7638.32885400,21
1781355600000,2003.59000000,2005.39000000,2001.69000000,2005.06000000,1.29580000,1781359199999,2597.05827200,32
1781359200000,2004.83000000,2005.31000000,1995.00000000,2005.31000000,18.30430000,1781362799999,36521.60143800,51
1781362800000,1996.52000000,2004.20000000,1996.52000000,2004.18000000,0.11890000,1781366399999,238.20784000,9
1781366400000,2005.39000000,2005.39000000,1998.46000000,2000.23000000,0.41450000,1781369999999,830.03979000,19
1781370000000,1999.43000000,2005.42000000,1999.38000000,2005.42000000,0.44840000,1781373599999,897.92622500,45
1781373600000,2005.40000000,2005.42000000,2000.00000000,2005.20000000,0.16740000,1781377199999,335.36604000,11
1781377200000,2005.16000000,2005.22000000,2005.16000000,2005.22000000,0.03190000,1781380799999,63.96509600,2
1781380800000,2005.39000000,2005.43000000,2001.63000000,2001.63000000,9.20700000,1781384399999,18463.90433900,27
1781384400000,2001.48000000,2005.40000000,1996.74000000,2005.36000000,0.84780000,1781387999999,1695.95405400,42
1781388000000,2005.38000000,2005.43000000,2005.32000000,2005.43000000,0.06740000,1781391599999,135.16463000,6
