funding_time,funding_rate
1724400000000,-0.00016127
1724428800000,-0.00025172
1724457600000,-0.00033776
1724486400005,0.00000000
1724515200000,-0.00025018
1724544000000,-0.00017985
1724572800000,-0.00018285
1724601600000,0.00000000
1724630400000,-0.00000066
1724659200001,0.00000000
1724688000000,0.00000000
1724716800001,0.00000000
1724745600000,0.00000000
1724774400000,0.00000000
1724803200000,0.00000000
1724832000000,0.00000000
1724860800001,0.00000000
1724889600000,0.00000000
1724918400001,0.00000000
1724947200000,0.00000000
1724976000000,0.00000000
1725004800000,0.00000000
1725033600000,0.00000000
1725062400000,0.00000000
1725091200000,0.00000000
1725120000000,0.00000000
1725148800000,0.00000000
1725177600001,0.00000000
1725206400000,-0.00005365
1725235200001,0.00000000
1725264000001,0.00000000
1725292800000,0.00000000
1725321600000,0.00000000
1725350400001,0.00000000
1725379200000,0.00000000
1725408000000,0.00000000
1725436800000,0.00000000
1725465600000,0.00000000
1725494400000,0.00000000
1725523200000,0.00000000
1725552000005,0.00000000
1725580800000,0.00000000
1725609600001,0.00000000
1725638400000,0.00000000
1725667200000,0.00000000
1725696000000,0.00000000
1725724800000,0.00000000
1725753600000,0.00000000
1725782400000,0.00000000
1725811200000,0.00000000
1725840000000,0.00000000
1725868800000,0.00000000
1725897600001,0.00000000
1725926400000,0.00000394
1725955200000,0.00000000
1725984000000,0.00000000
1726012800000,0.00000000
1726041600000,0.00000000
1726070400000,0.00000000
1726099200000,0.00000000
1726128000000,0.00000000
1726156800000,0.00000000
1726185600000,0.00000000
1726214400001,0.00000000
1726243200001,0.00000000
1726272000000,0.00000000
1726300800000,0.00000000
1726329600001,0.00000000
1726358400000,0.00000000
1726387200000,0.00000000
1726416000000,0.00000000
1726444800000,0.00000000
1726473600001,-0.00014697
1726502400000,-0.00003343
1726531200001,-0.00015539
1726560000000,-0.00000955
1726588800000,-0.00012454
1726617600000,-0.00011651
1726646400000,-0.00012655
1726675200004,-0.00003002
1726704000000,-0.00002078
1726732800000,0.00000000
1726761600001,-0.00035746
1726790400000,-0.00007390
1726819200001,0.00000000
1726848000000,0.00000000
1726876800001,0.00000000
1726905600000,0.00000000
1726934400000,0.00000000
1726963200000,0.00000000
1726992000000,0.00000000
1727020800000,0.00000000
1727049600000,0.00000000
1727078400000,0.00000000
1727107200000,0.00000000
1727136000000,0.00006712
1727164800000,0.00000000
1727193600001,0.00000000
1727222400000,0.00000000
1727251200003,0.00000000
1727280000000,0.00000000
1727308800005,0.00000000
1727337600000,0.00000000
1727366400000,0.00000000
1727395200000,0.00000000
1727424000000,0.00000000
1727452800000,0.00000000
1727481600000,0.00000000
1727510400001,0.00005223
1727539200000,0.00000000
1727568000001,0.00000000
1727596800000,0.00000000
1727625600000,0.00000000
1727654400000,0.00000000
1727683200001,0.00000000
1727712000000,0.00000000
1727740800000,0.00000000
1727769600000,0.00000000
1727798400001,0.00000000
1727827200000,-0.00002629
1727856000000,0.00000000
1727884800000,0.00000000
1727913600000,0.00000000
1727942400000,0.00000000
1727971200000,-0.00013994
1728000000000,0.00000000
1728028800000,0.00000000
1728057600001,0.00000000
1728086400000,0.00000000
1728115200000,0.00000000
1728144000000,0.00000000
1728172800000,0.00000000
1728201600001,0.00000000
1728230400000,0.00000000
1728259200000,0.00000000
1728288000000,0.00000000
1728316800001,0.00000000
1728345600000,0.00000000
1728374400000,0.00000000
1728403200000,0.00000000
1728432000000,-0.00037285
1728460800000,-0.00055575
1728489600000,-0.00031397
1728518400000,-0.00007384
1728547200000,-0.00009860
1728576000000,-0.00012910
1728604800000,-0.00015143
1728633600000,0.00000000
1728662400001,0.00000000
1728691200000,0.00000000
